run_id,livello,tbt,height,height_conferma,epoca,tipo,nodo_mittente,indirizzo_mittente,nodo_destinatario,indirizzo_destinatario,importo_gas,saldo_mittente_dopo,fonte_saldo_mittente,saldo_destinatario_dopo,fonte_saldo_destinatario,note,saldo_mittente_prima
run2-tbt-10s/nazionale,nazionale,10,6,,1,init,admin,,c1,15fYhE3iZ4bpB7ugDAYGojPMeX2Spatt4cYUa3,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8044,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/nazionale,nazionale,10,6,,1,init,admin,,c2,17qTRawo67UbxQwDkqqHxGDpdvyfvfQdxpNybm,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8044,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/nazionale,nazionale,10,6,,1,init,admin,,c3,19CJJciQqbHBXRfwnZNpmfyWwq2CS5ExqyeWti,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8042,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/nazionale,nazionale,10,6,,1,init,admin,,c4,1ZGQepCG9n73v7nznTU4z3FWSu2Y5ZaTSRPy6v,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8046,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/nazionale,nazionale,10,6,,1,init,admin,,c5,1Sr73nub1pmsBWR9zQQ4Swj6AKw4syyoYts52e,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8044,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/nazionale,nazionale,10,6,,1,init,admin,,m1,1adtRPUq4ybX3pziYy2xMkFSGwepw299oQivBt,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),4.4364,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/nazionale,nazionale,10,6,,1,init,admin,,m2,19kvdJGdyLyMu8NcGpqistnByR71TSqfptkRQe,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),21.0685,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/nazionale,nazionale,10,6,,1,init,admin,,m3,1PZ3gzLZ6RaKq1ZtUUs5657xvQwtwxQH2tMqJa,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),40.1818,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/nazionale,nazionale,10,6,,1,init,admin,,ca,,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),49.3566,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/nazionale,nazionale,10,34,,3,refill,admin,,m1,1adtRPUq4ybX3pziYy2xMkFSGwepw299oQivBt,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),4.4364,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/nazionale,nazionale,10,36,,4,refill,admin,,m1,1adtRPUq4ybX3pziYy2xMkFSGwepw299oQivBt,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.4179,campione a height=36,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/nazionale,nazionale,10,36,,4,refill,admin,,m2,19kvdJGdyLyMu8NcGpqistnByR71TSqfptkRQe,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),9.5824,campione a height=36,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/nazionale,nazionale,10,49,,5,refill,admin,,m1,1adtRPUq4ybX3pziYy2xMkFSGwepw299oQivBt,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.1326,campione a height=49,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/nazionale,nazionale,10,61,,6,refill,admin,,m1,1adtRPUq4ybX3pziYy2xMkFSGwepw299oQivBt,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.175,campione a height=61,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/nazionale,nazionale,10,61,,6,refill,admin,,m2,19kvdJGdyLyMu8NcGpqistnByR71TSqfptkRQe,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),19.8558,campione a height=61,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/nazionale,nazionale,10,73,,7,refill,admin,,m1,1adtRPUq4ybX3pziYy2xMkFSGwepw299oQivBt,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.3939,campione a height=73,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/nazionale,nazionale,10,73,,7,refill,admin,,m3,1PZ3gzLZ6RaKq1ZtUUs5657xvQwtwxQH2tMqJa,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),18.8715,campione a height=73,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/nazionale,nazionale,10,84,,8,refill,admin,,m1,1adtRPUq4ybX3pziYy2xMkFSGwepw299oQivBt,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.002,campione a height=84,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/nazionale,nazionale,10,96,,9,refill,admin,,m1,1adtRPUq4ybX3pziYy2xMkFSGwepw299oQivBt,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.1555,campione a height=96,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/nazionale,nazionale,10,96,,9,refill,admin,,m2,19kvdJGdyLyMu8NcGpqistnByR71TSqfptkRQe,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),9.9276,campione a height=96,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/nazionale,nazionale,10,109,,10,refill,admin,,m1,1adtRPUq4ybX3pziYy2xMkFSGwepw299oQivBt,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.028,campione a height=109,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/nazionale,nazionale,10,122,,11,refill,admin,,m1,1adtRPUq4ybX3pziYy2xMkFSGwepw299oQivBt,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.7542,campione a height=122,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
